Gene Symbol	GO - Biological Process	GO - Cellular Component	GO - Molecular Function	GO ID	GSEA Standard Name	
PBANKA_0000600	-	-	-	-	-	
PBANKA_0000701	-	-	-	-	-	
PBANKA_0000801	-	-	-	-	-	
PBANKA_0001001	-	-	-	-	-	
PBANKA_0001101	-	-	-	-	-	
PBANKA_0001201	-	-	-	-	-	
PBANKA_0001301	-	-	-	-	-	
PBANKA_0001401	-	-	-	-	-	
PBANKA_0001501	-	-	-	-	-	
PBANKA_0006300	-	-	-	-	-	
PBANKA_0006401	-	-	-	-	-	
PBANKA_0006501	-	-	-	-	-	
PBANKA_0006600	-	-	-	-	-	
PBANKA_0006701	-	-	-	-	-	
PBANKA_0006800	-	-	-	-	-	
PBANKA_0006900	-	-	-	-	-	
PBANKA_0007000	-	-	-	-	-	
PBANKA_0007100	-	-	-	-	-	
PBANKA_0007200	-	-	-	-	-	
PBANKA_0007300	-	-	-	-	-	
PBANKA_0007401	-	-	-	-	-	
PBANKA_0007601	-	-	-	-	-	
PBANKA_0007701	-	-	-	-	-	
PBANKA_0007901	-	-	-	-	-	
PBANKA_0008001	-	-	-	-	-	
PBANKA_0008201	-	-	-	-	-	
PBANKA_0008301	-	-	-	-	-	
PBANKA_0008401	-	-	-	-	-	
PBANKA_0008501	-	-	-	-	-	
PBANKA_0008801	-	-	-	-	-	
PBANKA_0008901	-	-	-	-	-	
PBANKA_0009101	-	-	-	-	-	
PBANKA_0112681	-	-	-	-	-	
PBANKA_0200500	-	-	-	-	-	
PBANKA_0200670	-	-	-	-	-	
PBANKA_0200751	-	-	-	-	-	
PBANKA_0201100	-	-	-	-	-	
PBANKA_0201450	-	-	-	-	-	
PBANKA_0215700	-	-	-	-	-	
PBANKA_0215900	-	-	-	-	-	
PBANKA_0216000	-	-	-	-	-	
PBANKA_0216061	-	-	-	-	-	
PBANKA_0300200	-	-	-	-	-	
PBANKA_0300300	-	-	-	-	-	
PBANKA_0300400	-	-	-	-	-	
PBANKA_0316650	-	-	-	-	-	
PBANKA_0316861	-	-	-	-	-	
PBANKA_0316900	-	-	-	-	-	
PBANKA_0316941	-	-	-	-	-	
PBANKA_0317001	-	-	-	-	-	
PBANKA_0317041	-	-	-	-	-	
PBANKA_0317101	-	-	-	-	-	
PBANKA_0400200	-	-	-	-	-	
PBANKA_0400500	-	-	-	-	-	
PBANKA_0400600	-	-	-	-	-	
PBANKA_0500200	-	-	-	-	-	
PBANKA_0500721	-	-	-	-	-	
PBANKA_0500950	-	-	-	-	-	
PBANKA_0500971	-	-	-	-	-	
PBANKA_0600011	-	-	-	-	-	
PBANKA_0600041	-	-	-	-	-	
PBANKA_0600051	-	-	-	-	-	
PBANKA_0600081	-	-	-	-	-	
PBANKA_0600086	-	-	-	-	-	
PBANKA_0600096	-	-	-	-	-	
PBANKA_0600100	-	-	-	-	-	
PBANKA_0600200	-	-	-	-	-	
PBANKA_0600251	-	-	-	-	-	
PBANKA_0600300	-	-	-	-	-	
PBANKA_0623600	-	-	-	-	-	
PBANKA_0623651	-	-	-	-	-	
PBANKA_0700011	-	-	-	-	-	
PBANKA_0700021	-	-	-	-	-	
PBANKA_0700031	-	-	-	-	-	
PBANKA_0700041	-	-	-	-	-	
PBANKA_0700051	-	-	-	-	-	
PBANKA_0700061	-	-	-	-	-	
PBANKA_0700071	-	-	-	-	-	
PBANKA_0700081	-	-	-	-	-	
PBANKA_0700100	-	-	-	-	-	
PBANKA_0700200	-	-	-	-	-	
PBANKA_0700300	-	-	-	-	-	
PBANKA_0700541	-	-	-	-	-	
PBANKA_0722200	-	-	-	-	-	
PBANKA_0722700	-	-	-	-	-	
PBANKA_0722900	-	-	-	-	-	
PBANKA_0722921	-	-	-	-	-	
PBANKA_0722961	-	-	-	-	-	
PBANKA_0800061	-	-	-	-	-	
PBANKA_0800100	-	-	-	-	-	
PBANKA_0836850	-	-	-	-	-	
PBANKA_0836900	-	-	-	-	-	
PBANKA_0836921	-	-	-	-	-	
PBANKA_0836961	-	-	-	-	-	
PBANKA_0837001	-	-	-	-	-	
PBANKA_0837081	-	-	-	-	-	
PBANKA_0837101	-	-	-	-	-	
PBANKA_0837121	-	-	-	-	-	
PBANKA_0837141	-	-	-	-	-	
PBANKA_0837161	-	-	-	-	-	
PBANKA_0837181	-	-	-	-	-	
PBANKA_0900600	-	-	-	-	-	
PBANKA_0943800	-	-	-	-	-	
PBANKA_0944000	-	-	-	-	-	
PBANKA_0944061	-	-	-	-	-	
PBANKA_0944081	-	-	-	-	-	
PBANKA_0944101	-	-	-	-	-	
PBANKA_0944121	-	-	-	-	-	
PBANKA_1000031	-	-	-	-	-	
PBANKA_1000061	-	-	-	-	-	
PBANKA_1000091	-	-	-	-	-	
PBANKA_1040200	-	-	-	-	-	
PBANKA_1040400	-	-	-	-	-	
PBANKA_1040500	-	-	-	-	-	
PBANKA_1040541	-	-	-	-	-	
PBANKA_1040561	-	-	-	-	-	
PBANKA_1100011	-	-	-	-	-	
PBANKA_1100021	-	-	-	-	-	
PBANKA_1100031	-	-	-	-	-	
PBANKA_1100041	-	-	-	-	-	
PBANKA_1100051	-	-	-	-	-	
PBANKA_1100061	-	-	-	-	-	
PBANKA_1100071	-	-	-	-	-	
PBANKA_1100100	-	-	-	-	-	
PBANKA_1100200	-	-	-	-	-	
PBANKA_1100300	-	-	-	-	-	
PBANKA_1100351	-	-	-	-	-	
PBANKA_1100400	-	-	-	-	-	
PBANKA_1100461	-	-	-	-	-	
PBANKA_1100600	-	-	-	-	-	
PBANKA_1100781	-	-	-	-	-	
PBANKA_1100850	-	-	-	-	-	
PBANKA_1146241	-	-	-	-	-	
PBANKA_1146261	-	-	-	-	-	
PBANKA_1146400	-	-	-	-	-	
PBANKA_1146700	-	-	-	-	-	
PBANKA_1146721	-	-	-	-	-	
PBANKA_1146741	-	-	-	-	-	
PBANKA_1200021	-	-	-	-	-	
PBANKA_1200031	-	-	-	-	-	
PBANKA_1200061	-	-	-	-	-	
PBANKA_1200071	-	-	-	-	-	
PBANKA_1200081	-	-	-	-	-	
PBANKA_1200300	-	-	-	-	-	
PBANKA_1200400	-	-	-	-	-	
PBANKA_1200500	-	-	-	-	-	
PBANKA_1246121	-	-	-	-	-	
PBANKA_1246300	-	-	-	-	-	
PBANKA_1246400	-	-	-	-	-	
PBANKA_1246500	-	-	-	-	-	
PBANKA_1246700	-	-	-	-	-	
PBANKA_1246800	-	-	-	-	-	
PBANKA_1246900	-	-	-	-	-	
PBANKA_1246921	-	-	-	-	-	
PBANKA_1246981	-	-	-	-	-	
PBANKA_1300021	-	-	-	-	-	
PBANKA_1300061	-	-	-	-	-	
PBANKA_1300071	-	-	-	-	-	
PBANKA_1300081	-	-	-	-	-	
PBANKA_1300091	-	-	-	-	-	
PBANKA_1300100	-	-	-	-	-	
PBANKA_1300200	-	-	-	-	-	
PBANKA_1365550	-	-	-	-	-	
PBANKA_1365700	-	-	-	-	-	
PBANKA_1400011	-	-	-	-	-	
PBANKA_1400021	-	-	-	-	-	
PBANKA_1400061	-	-	-	-	-	
PBANKA_1400071	-	-	-	-	-	
PBANKA_1400081	-	-	-	-	-	
PBANKA_1400086	-	-	-	-	-	
PBANKA_1400100	-	-	-	-	-	
PBANKA_1400300	-	-	-	-	-	
PBANKA_1400500	-	-	-	-	-	
PBANKA_1465200	-	-	-	-	-	
PBANKA_1465300	-	-	-	-	-	
PBANKA_1465500	-	-	-	-	-	
PBANKA_1465800	-	-	-	-	-	
PBANKA_1465881	-	-	-	-	-	
PBANKA_1465921	-	-	-	-	-	
PBANKA_1466000	-	-	-	-	-	
PBANKA_1466100	-	-	-	-	-	
PBANKA_1466121	-	-	-	-	-	
PBANKA_1466161	-	-	-	-	-	
PBANKA_1466181	-	-	-	-	-	
PBANKA_1466201	-	-	-	-	-	
PBANKA_1466261	-	-	-	-	-	
PCHAS_0100200	-	-	-	-	-	
PCHAS_0100300	-	-	-	-	-	
PCHAS_0114500	-	-	-	-	-	
PCHAS_0115000	-	-	-	-	-	
PCHAS_0115100	-	-	-	-	-	
PCHAS_0115200	-	-	-	-	-	
PCHAS_0115300	-	-	-	-	-	
PCHAS_0200005	-	-	-	-	-	
PCHAS_0200011	-	-	-	-	-	
PCHAS_0200015	-	-	-	-	-	
PCHAS_0200021	-	-	-	-	-	
PCHAS_0200025	-	-	-	-	-	
PCHAS_0200031	-	-	-	-	-	
PCHAS_0213841	-	-	-	-	-	
PCHAS_0213861	-	-	-	-	-	
PCHAS_0300200	-	-	-	-	-	
PCHAS_0300300	-	-	-	-	-	
PCHAS_0300400	-	-	-	-	-	
PCHAS_0300600	-	-	-	-	-	
PCHAS_0300800	-	-	-	-	-	
PCHAS_0300900	-	-	-	-	-	
PCHAS_0301100	-	-	-	-	-	
PCHAS_0301200	-	-	-	-	-	
PCHAS_0301500	-	-	-	-	-	
PCHAS_0301800	-	-	-	-	-	
PCHAS_0302100	-	-	-	-	-	
PCHAS_0318500	-	-	-	-	-	
PCHAS_0319100	-	-	-	-	-	
PCHAS_0319600	-	-	-	-	-	
PCHAS_0319700	-	-	-	-	-	
PCHAS_0319800	-	-	-	-	-	
PCHAS_0319900	-	-	-	-	-	
PCHAS_0320000	-	-	-	-	-	
PCHAS_0320100	-	-	-	-	-	
PCHAS_0320200	-	-	-	-	-	
PCHAS_0320300	-	-	-	-	-	
PCHAS_0320400	-	-	-	-	-	
PCHAS_0400101	-	-	-	-	-	
PCHAS_0400111	-	-	-	-	-	
PCHAS_0400121	-	-	-	-	-	
PCHAS_0400200	-	-	-	-	-	
PCHAS_0400300	-	-	-	-	-	
PCHAS_0400400	-	-	-	-	-	
PCHAS_0400500	-	-	-	-	-	
PCHAS_0401100	-	-	-	-	-	
PCHAS_0419600	-	-	-	-	-	
PCHAS_0420300	-	-	-	-	-	
PCHAS_0500200	-	-	-	-	-	
PCHAS_0500600	-	-	-	-	-	
PCHAS_0500700	-	-	-	-	-	
PCHAS_0525411	-	-	-	-	-	
PCHAS_0525421	-	-	-	-	-	
PCHAS_0600200	-	-	-	-	-	
PCHAS_0600300	-	-	-	-	-	
PCHAS_0600500	-	-	-	-	-	
PCHAS_0600600	-	-	-	-	-	
PCHAS_0601200	-	-	-	-	-	
PCHAS_0601400	-	-	-	-	-	
PCHAS_0626300	-	-	-	-	-	
PCHAS_0626700	-	-	-	-	-	
PCHAS_0626900	-	-	-	-	-	
PCHAS_0627100	-	-	-	-	-	
PCHAS_0627200	-	-	-	-	-	
PCHAS_0700200	-	-	-	-	-	
PCHAS_0700300	-	-	-	-	-	
PCHAS_0700500	-	-	-	-	-	
PCHAS_0700900	-	-	-	-	-	
PCHAS_0701000	-	-	-	-	-	
PCHAS_0701300	-	-	-	-	-	
PCHAS_0701400	-	-	-	-	-	
PCHAS_0701600	-	-	-	-	-	
PCHAS_0731600	-	-	-	-	-	
PCHAS_0731800	-	-	-	-	-	
PCHAS_0731900	-	-	-	-	-	
PCHAS_0732000	-	-	-	-	-	
PCHAS_0800005	-	-	-	-	-	
PCHAS_0800011	-	-	-	-	-	
PCHAS_0800015	-	-	-	-	-	
PCHAS_0800051	-	-	-	-	-	
PCHAS_0837600	-	-	-	-	-	
PCHAS_0838000	-	-	-	-	-	
PCHAS_0900001	-	-	-	-	-	
PCHAS_0900005	-	-	-	-	-	
PCHAS_0900011	-	-	-	-	-	
PCHAS_0900015	-	-	-	-	-	
PCHAS_0900041	-	-	-	-	-	
PCHAS_0900045	-	-	-	-	-	
PCHAS_0938200	-	-	-	-	-	
PCHAS_0938341	-	-	-	-	-	
PCHAS_1000300	-	-	-	-	-	
PCHAS_1000400	-	-	-	-	-	
PCHAS_1042300	-	-	-	-	-	
PCHAS_1042500	-	-	-	-	-	
PCHAS_1042600	-	-	-	-	-	
PCHAS_1042700	-	-	-	-	-	
PCHAS_1100200	-	-	-	-	-	
PCHAS_1146400	-	-	-	-	-	
PCHAS_1147300	-	-	-	-	-	
PCHAS_1147400	-	-	-	-	-	
PCHAS_1147500	-	-	-	-	-	
PCHAS_1147521	-	-	-	-	-	
PCHAS_1200200	-	-	-	-	-	
PCHAS_1200300	-	-	-	-	-	
PCHAS_1200400	-	-	-	-	-	
PCHAS_1200500	-	-	-	-	-	
PCHAS_1200600	-	-	-	-	-	
PCHAS_1200700	-	-	-	-	-	
PCHAS_1247400	-	-	-	-	-	
PCHAS_1247500	-	-	-	-	-	
PCHAS_1300101	-	-	-	-	-	
PCHAS_1300201	-	-	-	-	-	
PCHAS_1300301	-	-	-	-	-	
PCHAS_1300401	-	-	-	-	-	
PCHAS_1371200	-	-	-	-	-	
PCHAS_1371300	-	-	-	-	-	
PCHAS_1371400	-	-	-	-	-	
PCHAS_1371500	-	-	-	-	-	
PCHAS_1371600	-	-	-	-	-	
PCHAS_1371700	-	-	-	-	-	
PCHAS_1371900	-	-	-	-	-	
PCHAS_1400200	-	-	-	-	-	
PCHAS_1400300	-	-	-	-	-	
PCHAS_1400400	-	-	-	-	-	
PCHAS_1400700	-	-	-	-	-	
PCHAS_1400900	-	-	-	-	-	
PCHAS_1401300	-	-	-	-	-	
PCHAS_1468400	-	-	-	-	-	
PCHAS_1468500	-	-	-	-	-	
PCHAS_1468700	-	-	-	-	-	
PYYM_0000100	-	-	-	-	-	
PYYM_0000200	-	-	-	-	-	
PYYM_0000300	-	-	-	-	-	
PYYM_0000400	-	-	-	-	-	
PYYM_0000500	-	-	-	-	-	
PYYM_0000600	-	-	-	-	-	
PYYM_0000700	-	-	-	-	-	
PYYM_0000800	-	-	-	-	-	
PYYM_0000900	-	-	-	-	-	
PYYM_0001000	-	-	-	-	-	
PYYM_0001100	-	-	-	-	-	
PYYM_0001200	-	-	-	-	-	
PYYM_0001300	-	-	-	-	-	
PYYM_0001400	-	-	-	-	-	
PYYM_0001500	-	-	-	-	-	
PYYM_0001600	-	-	-	-	-	
PYYM_0001700	-	-	-	-	-	
PYYM_0001800	-	-	-	-	-	
PYYM_0001900	-	-	-	-	-	
PYYM_0002000	-	-	-	-	-	
PYYM_0002100	-	-	-	-	-	
PYYM_0002200	-	-	-	-	-	
PYYM_0002300	-	-	-	-	-	
PYYM_0002400	-	-	-	-	-	
PYYM_0002500	-	-	-	-	-	
PYYM_0002600	-	-	-	-	-	
PYYM_0002700	-	-	-	-	-	
PYYM_0002800	-	-	-	-	-	
PYYM_0002900	-	-	-	-	-	
PYYM_0003000	-	-	-	-	-	
PYYM_0003100	-	-	-	-	-	
PYYM_0003400	-	-	-	-	-	
PYYM_0003500	-	-	-	-	-	
PYYM_0003600	-	-	-	-	-	
PYYM_0003700	-	-	-	-	-	
PYYM_0003800	-	-	-	-	-	
PYYM_0003900	-	-	-	-	-	
PYYM_0004000	-	-	-	-	-	
PYYM_0004100	-	-	-	-	-	
PYYM_0004200	-	-	-	-	-	
PYYM_0004300	-	-	-	-	-	
PYYM_0004400	-	-	-	-	-	
PYYM_0004500	-	-	-	-	-	
PYYM_0004600	-	-	-	-	-	
PYYM_0004700	-	-	-	-	-	
PYYM_0004800	-	-	-	-	-	
PYYM_0004900	-	-	-	-	-	
PYYM_0005000	-	-	-	-	-	
PYYM_0005100	-	-	-	-	-	
PYYM_0005200	-	-	-	-	-	
PYYM_0005300	-	-	-	-	-	
PYYM_0005400	-	-	-	-	-	
PYYM_0005600	-	-	-	-	-	
PYYM_0005800	-	-	-	-	-	
PYYM_0005900	-	-	-	-	-	
PYYM_0006000	-	-	-	-	-	
PYYM_0006100	-	-	-	-	-	
PYYM_0006300	-	-	-	-	-	
PYYM_0006400	-	-	-	-	-	
PYYM_0006500	-	-	-	-	-	
PYYM_0006600	-	-	-	-	-	
PYYM_0006800	-	-	-	-	-	
PYYM_0006900	-	-	-	-	-	
PYYM_0007000	-	-	-	-	-	
PYYM_0007100	-	-	-	-	-	
PYYM_0007200	-	-	-	-	-	
PYYM_0007300	-	-	-	-	-	
PYYM_0007400	-	-	-	-	-	
PYYM_0007500	-	-	-	-	-	
